"","sample.ID","sample_uid","host_genus","host_species","collection_longitude","collection_latitude","location"
"115","AU18_0747","158804","Turbinaria","Turbinaria_reniformis",151.929,-23.43327,"Den Haag"
"116","AU18_0220","158730","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"Milan"
"117","AU18_0115","158720","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"Milan"
"118","AU18_1121","158843","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"Paris"
"119","AU18_0965","158817","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"Milan"
"120","AU18_0586","158776","Turbinaria","Turbinaria_reniformis",150.97526,-23.14819,"Paris"
"121","AU18_0472","158767","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"Brussels"
"122","AU18_0463","158763","Turbinaria","Turbinaria_frondens",153.52519,-27.41415,"Milan"
"123","AU18_0281","158745","Turbinaria","Turbinaria_patula",153.62826,-28.61083,"Den Haag"
"124","AU18_0242","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"Milan"
"125","AU18_0632","158789","Turbinaria","Turbinaria_reniformis",150.92229,-23.16422,"Rome"
"126","AU18_1034","158826","Turbinaria","Turbinaria_reniformis",151.47969,-23.99487,"Den Haag"
"127","AU18_0970","158820","Turbinaria","Turbinaria_reniformis",151.74225,-24.02064,"Rome"
"128","AU18_0469","158765","Turbinaria","Turbinaria_mesenterina",153.52519,-27.41415,"Brussels"
"129","AU18_0470","158766","Turbinaria","Turbinaria_mesenterina",153.52519,-27.41415,"Den Haag"
"130","AU18_0390","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"Den Haag"
"131","AU18_0387","158753","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"Brussels"
"132","AU18_neg12","158855","NoData","NoData",999,999,"Den Haag"
"133","AU18_0062","158702","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"Den Haag"
"134","AU18_0112","158717","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"Brussels"
"135","AU18_0072","158711","Turbinaria","Turbinaria_mesenterina",153.17961,-30.2384,"Brussels"
"136","AU18_1037","158828","Turbinaria","Turbinaria_reniformis",151.47969,-23.99487,"Milan"
"137","AU18_0352","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"Paris"
"138","AU18_negEXT","158858","NoData","NoData",999,999,"Den Haag"
"139","AU18_neg12-r2","158857","NoData","NoData",999,999,"Milan"
"140","AU18_neg12-r1","158856","NoData","NoData",999,999,"Milan"
"141","AU18_neg2","158854","NoData","NoData",999,999,"Rome"
"142","AU18_0904","158810","Turbinaria","Turbinaria_mesenterina",152.71016,-24.11193,"Brussels"
"143","AU18_0743","158801","Turbinaria","Turbinaria_patula",151.929,-23.43327,"Paris"
"144","AU18_0703","158798","Turbinaria","Turbinaria_patula",151.929,-23.43327,"Brussels"
"145","AU18_0585","158775","Turbinaria","Turbinaria_reniformis",150.97526,-23.14819,"Milan"
"146","AU18_0484","158771","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"Paris"
"147","AU18_0245","158738","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"Brussels"
"148","AU18_0244","158737","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"Rome"
"149","AU18_0243","158736","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"Brussels"
"150","AU18_0241","158734","Turbinaria","Turbinaria_mesenterina",153.26519,-30.20489,"Milan"
"151","AU18_0219","158729","Turbinaria","Turbinaria_mesenterina",153.26519,-30.20489,"Rome"
"152","AU18_0218","158728","Turbinaria","Turbinaria_mesenterina",153.26519,-30.20489,"Paris"
"153","AU18_0168","158726","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"Rome"
"154","AU18_0150","158721","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"Den Haag"
"155","AU18_0114","158719","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"Paris"
"156","AU18_0087","158713","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"Milan"
"157","AU18_0078","158712","Turbinaria","Turbinaria_reniformis",153.17961,-30.2384,"Den Haag"
"158","","seq_accession","","",NA,NA,"Milan"
