"","sample.ID","seq.ID","abundance","fill_col"
"521","AU18_0748","2885743_D",20,"2885743_D"
"522","AU18_0744","281318_D",20,"281318_D"
"523","AU18_1125","2282560_C",20,"2282560_C"
"524","AU18_1125","1242406_D",20,"1242406_D"
"525","AU18_0319","D1ej",20,"D1ej"
"526","AU18_1121","C1",20,"C1"
"527","AU18_1121","D2a",20,"D2a"
"528","AU18_neg12","C3be",20,"C3be"
"529","AU18_0432","1147954_C",21,"1147954_C"
"530","AU18_0432","2786619_C",21,"2786619_C"
"531","AU18_0459","1670084_C",21,"1670084_C"
"532","AU18_0737","2885790_C",21,"2885790_C"
"533","AU18_1039","69388_C",21,"69388_C"
"534","AU18_0685","1148411_C",21,"1148411_C"
"535","AU18_0686","C1",21,"C1"
"536","AU18_0260","1148411_C",21,"1148411_C"
"537","AU18_0108","C1",21,"C1"
"538","AU18_0257","1630543_C",21,"1630543_C"
"539","AU18_0485","1626350_C",21,"1626350_C"
"540","AU18_0895","1626763_C",21,"1626763_C"
"541","AU18_0599","1148411_C",21,"1148411_C"
"542","AU18_0599","1630543_C",21,"1630543_C"
"543","AU18_0599","10616_D",21,"10616_D"
"544","AU18_0069","C42ao",21,"C42ao"
"545","AU18_0237","107479_C",21,"107479_C"
"546","AU18_0070","147220_C",21,"147220_C"
"547","AU18_0070","2885766_C",21,"2885766_C"
"548","AU18_0748","D17d",21,"D17d"
"549","AU18_1122","57566_C",21,"57566_C"
"550","AU18_1041","C8",21,"C8"
"551","AU18_1041","1148411_C",21,"1148411_C"
"552","AU18_0063","C3ub",21,"C3ub"
"553","AU18_0113","103346_C",21,"103346_C"
"554","AU18_0113","2885768_C",21,"2885768_C"
"555","AU18_1121","1148411_C",21,"1148411_C"
"556","AU18_0281","1622915_C",21,"1622915_C"
"557","AU18_0281","1670629_C",21,"1670629_C"
"558","AU18_neg12","90635_C",21,"90635_C"
"559","AU18_0696","2174376_C",22,"2174376_C"
"560","AU18_0596","1626916_C",22,"1626916_C"
"561","AU18_0331","1626916_C",22,"1626916_C"
"562","AU18_0520","C3bm",22,"C3bm"
"563","AU18_0332","C22ah",22,"C22ah"
"564","AU18_0967","1630543_C",22,"1630543_C"
"565","AU18_0617","1613357_C",22,"1613357_C"
"566","AU18_0256","1612485_C",22,"1612485_C"
"567","AU18_0686","1611789_C",22,"1611789_C"
"568","AU18_0592","1626916_C",22,"1626916_C"
"569","AU18_0592","21025_C",22,"21025_C"
"570","AU18_1033","1680592_C",22,"1680592_C"
"571","AU18_1010","C42.2",22,"C42.2"
