"","sample.ID","seq.ID","abundance"
"355","AU18_0737","C3",101
"356","AU18_0737","C22ah",25
"357","AU18_0737","1611788_C",25
"358","AU18_0737","1147954_C",10
"359","AU18_0737","1148411_C",6
"360","AU18_0737","1630543_C",10
"361","AU18_0737","1612485_C",5
"362","AU18_0737","1630681_C",34
"363","AU18_0737","1611789_C",8
"364","AU18_0737","2885790_C",21
"365","AU18_0737","1670421_C",25
"366","AU18_0737","1670426_C",5
"367","AU18_1126","C22",5063
"368","AU18_1126","C22ad",2369
"369","AU18_1126","C3",1036
"370","AU18_1126","C22ah",199
"371","AU18_1126","1611788_C",146
"372","AU18_1126","1147954_C",81
"373","AU18_1126","1148411_C",85
"374","AU18_1126","37253_C",69
"375","AU18_1126","1630543_C",44
"376","AU18_1126","1612485_C",94
"377","AU18_1126","1626916_C",42
"378","AU18_1126","1645678_C",72
"379","AU18_1126","1630681_C",231
"380","AU18_1126","1670084_C",46
"381","AU18_1126","2885790_C",126
"382","AU18_1126","1670421_C",140
"383","AU18_0615","C22",2684
"384","AU18_0615","C22ad",651
"385","AU18_0615","C3",398
"386","AU18_0615","C22ah",218
"387","AU18_0615","1611788_C",145
"388","AU18_0615","1645568_C",56
"389","AU18_0615","1147954_C",83
"390","AU18_0615","1148411_C",50
"391","AU18_0615","C21",28
"392","AU18_0615","1630543_C",55
"393","AU18_0615","1626916_C",38
"394","AU18_0615","2174376_C",45
"395","AU18_0615","1611789_C",37
"396","AU18_0588","C22",3454
"397","AU18_0588","C22ad",1845
"398","AU18_0588","C3",1035
"399","AU18_0588","C22ah",389
"400","AU18_0588","1611788_C",126
"401","AU18_0588","1645568_C",206
"402","AU18_0588","1147954_C",114
"403","AU18_0588","1148411_C",72
"404","AU18_0588","37253_C",54
"405","AU18_0588","C21",67
"406","AU18_0588","1626916_C",42
"407","AU18_0588","2174376_C",44
"408","AU18_0588","1611789_C",32
"409","AU18_0588","1626350_C",61
"410","AU18_0588","1692949_C",64
"411","AU18_0588","2885742_C",39
"412","AU18_1129","C22",1657
"413","AU18_1129","C22ad",571
"414","AU18_1129","C3",346
"415","AU18_1129","C22ah",123
"416","AU18_1129","1611788_C",55
"417","AU18_1129","1645568_C",46
"418","AU18_1129","1147954_C",48
"419","AU18_1129","1148411_C",39
"420","AU18_1129","37253_C",30
"421","AU18_1129","1630543_C",26
"422","AU18_1129","1612485_C",28
"423","AU18_1129","1626916_C",15
"424","AU18_1129","1645678_C",23
"425","AU18_1129","1670084_C",19
"426","AU18_1129","D1",31
"427","AU18_1129","D6",12
"428","AU18_1129","D1d",9
"429","AU18_1129","D17d",8
"430","AU18_0520","C22",3117
"431","AU18_0520","C22ad",818
"432","AU18_0520","C3",749
"433","AU18_0520","C22ah",126
"434","AU18_0520","C50b",89
"435","AU18_0520","1611788_C",135
"436","AU18_0520","1147954_C",61
"437","AU18_0520","1148411_C",108
"438","AU18_0520","37253_C",23
"439","AU18_0520","C21",24
"440","AU18_0520","C3bm",22
"441","AU18_0520","1630543_C",24
"442","AU18_0520","1612485_C",61
"443","AU18_0520","1680592_C",70
"444","AU18_0520","1626916_C",28
"445","AU18_0520","1645787_C",23
"446","AU18_0520","1611789_C",69
"447","AU18_1060","C22",4153
"448","AU18_1060","C22ad",1468
"449","AU18_1060","C3",968
"450","AU18_1060","C22ah",306
"451","AU18_1060","1611788_C",152
"452","AU18_1060","1645568_C",148
"453","AU18_1060","1147954_C",95
"454","AU18_1060","1148411_C",117
"455","AU18_1060","37253_C",42
"456","AU18_1060","C21",60
"457","AU18_1060","1630543_C",57
"458","AU18_1060","1612485_C",39
"459","AU18_1060","1680592_C",52
"460","AU18_1060","1626916_C",41
"461","AU18_1060","1645678_C",63
"462","AU18_1060","1626350_C",61
"463","AU18_1060","1662001_C",91
"464","AU18_1060","1626763_C",46
"465","AU18_0111","C22",2034
"466","AU18_0111","C22ad",1842
"467","AU18_0111","C3",434
"468","AU18_0111","C22ah",113
"469","AU18_0111","1611788_C",50
"470","AU18_0111","1645568_C",56
"471","AU18_0111","1147954_C",47
"472","AU18_0111","1148411_C",45
"473","AU18_0111","37253_C",79
"474","AU18_0111","1646063_C",272
"475","AU18_0111","1630543_C",26
"476","AU18_0111","1622915_C",26
"477","AU18_0111","1670084_C",37
"478","AU18_0111","1630588_C",95
"479","AU18_0111","1645877_C",35
"480","AU18_1123","C22",6284
"481","AU18_1123","C22ad",1053
"482","AU18_1123","C3",1075
"483","AU18_1123","C22ah",230
"484","AU18_1123","1611788_C",309
"485","AU18_1123","1645568_C",130
"486","AU18_1123","1147954_C",171
"487","AU18_1123","1148411_C",192
"488","AU18_1123","1630543_C",64
"489","AU18_1123","1612485_C",183
"490","AU18_1123","1626916_C",53
"491","AU18_1123","2174376_C",44
"492","AU18_1123","1611789_C",45
"493","AU18_1123","1626350_C",150
"494","AU18_1123","1662001_C",86
"495","AU18_1123","1626763_C",65
"496","AU18_1123","1714620_C",60
"497","AU18_0332","C22",271
"498","AU18_0332","C22ad",142
"499","AU18_0332","C3",95
"500","AU18_0332","C22ah",22
"501","AU18_0332","1611788_C",15
"502","AU18_0332","1147954_C",12
"503","AU18_0332","1148411_C",5
"504","AU18_0332","37253_C",8
"505","AU18_0332","1630543_C",5
"506","AU18_0332","1645678_C",4
"507","AU18_0332","2786619_C",4
"508","AU18_0332","2282560_C",7
"509","AU18_0332","2282565_C",4
"510","AU18_0332","1645877_C",4
"511","AU18_0332","C3cl",6
"512","AU18_0332","D1",365
"513","AU18_0332","D6",40
"514","AU18_0332","D4",29
"515","AU18_0332","D1d",68
"516","AU18_0332","D6c",8
"517","AU18_0332","D4ae",5
"518","AU18_0332","D17d",5
"519","AU18_0332","172931_D",9
"520","AU18_0332","D17e",8
"521","AU18_0332","D6g",6
"522","AU18_0332","25566_D",5
"523","AU18_0332","D1r",7
"524","AU18_0963","C22",2356
"525","AU18_0963","C22ad",1386
"526","AU18_0963","C1",44
"527","AU18_0963","C3",761
"528","AU18_0963","C22ah",176
"529","AU18_0963","1611788_C",55
"530","AU18_0963","1645568_C",25
"531","AU18_0963","1147954_C",26
"532","AU18_0963","37253_C",34
"533","AU18_0963","C21",46
"534","AU18_0963","1626916_C",28
"535","AU18_0963","2174376_C",42
"536","AU18_0963","G3a",5
"537","AU18_0964","C22",2023
"538","AU18_0964","C22ad",1292
"539","AU18_0964","C1",31
"540","AU18_0964","C3",599
"541","AU18_0964","C22ah",160
"542","AU18_0964","1611788_C",65
"543","AU18_0964","1645568_C",55
"544","AU18_0964","1147954_C",51
"545","AU18_0964","1148411_C",55
"546","AU18_0964","37253_C",33
"547","AU18_0964","1630543_C",24
"548","AU18_0964","21025_C",20
"549","AU18_0964","1351_C",20
"550","AU18_0702","C22",1470
"551","AU18_0702","C22ad",1055
"552","AU18_0702","C1",121
"553","AU18_0702","C3",425
"554","AU18_0702","C22ah",57
"555","AU18_0702","1611788_C",43
"556","AU18_0702","1147954_C",24
"557","AU18_0702","1148411_C",36
"558","AU18_0702","37253_C",50
"559","AU18_0702","C21",26
"560","AU18_0702","1630543_C",16
"561","AU18_0702","1626916_C",14
"562","AU18_0702","1630681_C",39
"563","AU18_0702","2885790_C",18
"564","AU18_0589","C22",2605
"565","AU18_0589","C22ad",1336
"566","AU18_0589","C1",55
"567","AU18_0589","C3",839
"568","AU18_0589","C22ah",226
"569","AU18_0589","1611788_C",102
"570","AU18_0589","1645568_C",103
"571","AU18_0589","1147954_C",53
"572","AU18_0589","1148411_C",40
"573","AU18_0589","37253_C",45
"574","AU18_0589","1612485_C",25
"575","AU18_0589","1626916_C",35
"576","AU18_0589","2174376_C",30
"577","AU18_0589","1611789_C",25
"578","AU18_1039","C22",2334
"579","AU18_1039","C22ad",1005
"580","AU18_1039","C1",237
"581","AU18_1039","C3",617
"582","AU18_1039","C22ah",125
"583","AU18_1039","1611788_C",63
"584","AU18_1039","1645568_C",80
"585","AU18_1039","1147954_C",59
"586","AU18_1039","1148411_C",47
"587","AU18_1039","37253_C",50
"588","AU18_1039","1630543_C",24
"589","AU18_1039","1611789_C",42
"590","AU18_1039","2885741_C",29
"591","AU18_1039","69388_C",21
"592","AU18_0967","C22",1631
"593","AU18_0967","C22ad",822
"594","AU18_0967","C1",103
"595","AU18_0967","C3",681
"596","AU18_0967","C22ah",122
"597","AU18_0967","1611788_C",40
"598","AU18_0967","1645568_C",46
"599","AU18_0967","1147954_C",35
"600","AU18_0967","1148411_C",67
"601","AU18_0967","37253_C",36
"602","AU18_0967","C21",60
"603","AU18_0967","1630543_C",22
"604","AU18_0967","42219_C",17
"605","AU18_0617","C22",2399
"606","AU18_0617","C22ad",1408
"607","AU18_0617","C1",23
"608","AU18_0617","C3",985
"609","AU18_0617","C22ah",160
"610","AU18_0617","1611788_C",81
"611","AU18_0617","1645568_C",79
"612","AU18_0617","1147954_C",48
"613","AU18_0617","1148411_C",45
"614","AU18_0617","37253_C",97
"615","AU18_0617","1630543_C",36
"616","AU18_0617","1612485_C",45
"617","AU18_0617","21025_C",28
"618","AU18_0617","1613357_C",22
"619","AU18_0685","C22",1712
"620","AU18_0685","C22ad",915
"621","AU18_0685","C1",13
"622","AU18_0685","C3",225
"623","AU18_0685","C22ah",166
"624","AU18_0685","1611788_C",77
"625","AU18_0685","1645568_C",56
"626","AU18_0685","1147954_C",62
"627","AU18_0685","1148411_C",21
"628","AU18_0685","1630543_C",31
"629","AU18_0685","1626916_C",20
"630","AU18_0685","2174376_C",18
"631","AU18_0685","1670084_C",14
"632","AU18_1031","C22",2959
"633","AU18_1031","C22ad",1435
"634","AU18_1031","C1",38
"635","AU18_1031","C3",538
"636","AU18_1031","C22ah",220
"637","AU18_1031","1611788_C",88
"638","AU18_1031","1645568_C",106
"639","AU18_1031","1147954_C",85
"640","AU18_1031","1148411_C",81
"641","AU18_1031","37253_C",47
"642","AU18_1031","1630543_C",36
"643","AU18_1031","1612485_C",44
"644","AU18_1031","1670084_C",26
"645","AU18_0688","C22",3160
"646","AU18_0688","C22ad",1055
"647","AU18_0688","C1",123
"648","AU18_0688","C3",513
"649","AU18_0688","C22ah",193
"650","AU18_0688","1611788_C",115
"651","AU18_0688","1645568_C",103
"652","AU18_0688","1147954_C",94
"653","AU18_0688","1148411_C",66
"654","AU18_0688","37253_C",32
"655","AU18_0688","1630543_C",35
"656","AU18_0688","1612485_C",42
"657","AU18_0688","1626916_C",23
"658","AU18_0256","C22",1231
"659","AU18_0256","C22ad",591
"660","AU18_0256","C1",40
"661","AU18_0256","C3",260
"662","AU18_0256","C22ah",78
"663","AU18_0256","1611788_C",37
"664","AU18_0256","1645568_C",49
"665","AU18_0256","1147954_C",39
"666","AU18_0256","1148411_C",18
"667","AU18_0256","37253_C",20
"668","AU18_0256","1630543_C",14
"669","AU18_0256","1612485_C",22
"670","AU18_0256","2174376_C",11
"671","AU18_0256","1622915_C",18
"672","AU18_0256","1642017_C",11
"673","AU18_1038","C22",3074
"674","AU18_1038","C22ad",1203
"675","AU18_1038","C1",95
"676","AU18_1038","C3",612
"677","AU18_1038","C22ah",208
"678","AU18_1038","1611788_C",101
"679","AU18_1038","1645568_C",92
"680","AU18_1038","1147954_C",88
"681","AU18_1038","1148411_C",78
"682","AU18_1038","37253_C",37
"683","AU18_1038","1630543_C",34
"684","AU18_1038","1612485_C",37
"685","AU18_1038","1645678_C",31
"686","AU18_1038","1670084_C",27
"687","AU18_1038","2885805_C",47
"688","AU18_0612","C22",2532
"689","AU18_0612","C22ad",1144
"690","AU18_0612","C1",433
"691","AU18_0612","C3",638
"692","AU18_0612","C22ah",189
"693","AU18_0612","C42.2",24
"694","AU18_0612","C1b",51
"695","AU18_0612","1611788_C",74
"696","AU18_0612","1147954_C",76
"697","AU18_0612","1148411_C",79
"698","AU18_0612","37253_C",44
"699","AU18_0612","C22ai",102
"700","AU18_0612","1630543_C",41
"701","AU18_0612","1622915_C",29
"702","AU18_0612","2786619_C",27
"703","AU18_0686","C22",1644
"704","AU18_0686","C22ad",664
"705","AU18_0686","C1",21
"706","AU18_0686","C3",876
"707","AU18_0686","C22ah",156
"708","AU18_0686","1611788_C",53
"709","AU18_0686","1645568_C",61
"710","AU18_0686","1147954_C",48
"711","AU18_0686","1148411_C",34
"712","AU18_0686","37253_C",30
"713","AU18_0686","C21",49
"714","AU18_0686","2174376_C",24
"715","AU18_0686","1611789_C",22
"716","AU18_0686","333087_C",16
"717","AU18_0686","21025_C",19
"718","AU18_0686","1613357_C",23
"719","AU18_1124","C22",1800
"720","AU18_1124","C22ad",605
"721","AU18_1124","C1",59
"722","AU18_1124","C3",846
"723","AU18_1124","C22ah",118
"724","AU18_1124","1611788_C",70
"725","AU18_1124","1645568_C",55
"726","AU18_1124","1147954_C",33
"727","AU18_1124","1148411_C",33
"728","AU18_1124","37253_C",29
"729","AU18_1124","C21",62
"730","AU18_1124","1630543_C",29
"731","AU18_1124","1645678_C",35
"732","AU18_1124","2174376_C",26
"733","AU18_1124","42219_C",17
"734","AU18_0260","C22",1153
"735","AU18_0260","C22ad",599
"736","AU18_0260","C1",10
"737","AU18_0260","C3",400
"738","AU18_0260","C22ah",87
"739","AU18_0260","1611788_C",48
"740","AU18_0260","1645568_C",35
"741","AU18_0260","1147954_C",46
"742","AU18_0260","1148411_C",21
"743","AU18_0260","37253_C",25
"744","AU18_0260","C21",36
"745","AU18_0260","1630543_C",17
"746","AU18_0260","1622915_C",15
"747","AU18_0260","1642017_C",13
"748","AU18_0592","C22",2236
"749","AU18_0592","C22ad",1188
"750","AU18_0592","C1",216
"751","AU18_0592","C3",951
"752","AU18_0592","C22ah",178
"753","AU18_0592","1611788_C",102
"754","AU18_0592","1645568_C",82
"755","AU18_0592","1147954_C",70
"756","AU18_0592","1148411_C",34
"757","AU18_0592","37253_C",63
"758","AU18_0592","C21",46
"759","AU18_0592","1630543_C",42
"760","AU18_0592","1612485_C",33
"761","AU18_0592","1626916_C",22
"762","AU18_0592","2174376_C",28
"763","AU18_0592","21025_C",22
"764","AU18_0590","C22",2336
"765","AU18_0590","C22ad",1421
"766","AU18_0590","C1",527
"767","AU18_0590","C3",1147
"768","AU18_0590","C22ah",212
"769","AU18_0590","1611788_C",103
"770","AU18_0590","1645568_C",74
"771","AU18_0590","1147954_C",82
"772","AU18_0590","1148411_C",61
"773","AU18_0590","37253_C",81
"774","AU18_0590","C21",58
"775","AU18_0590","1630543_C",42
"776","AU18_0590","1626916_C",26
"777","AU18_0590","1611789_C",30
"778","AU18_0590","1670084_C",27
"779","AU18_0590","21025_C",36
"780","AU18_0590","1351_C",29
"781","AU18_0910","A1",4
"782","AU18_0910","C22",3415
"783","AU18_0910","C22ad",1042
"784","AU18_0910","C1",29
"785","AU18_0910","C3",1098
"786","AU18_0910","C22ah",250
"787","AU18_0910","1611788_C",136
"788","AU18_0910","1645568_C",94
"789","AU18_0910","1147954_C",83
"790","AU18_0910","1148411_C",70
"791","AU18_0910","37253_C",34
"792","AU18_0910","C21",68
"793","AU18_0910","1630543_C",42
"794","AU18_0910","1612485_C",26
"795","AU18_0910","1626916_C",35
"796","AU18_0910","1645678_C",55
"797","AU18_0910","21025_C",30
"798","AU18_0108","C22",1027
"799","AU18_0108","C22ad",525
"800","AU18_0108","C1",21
"801","AU18_0108","C3",262
"802","AU18_0108","C22ah",71
"803","AU18_0108","C1nu",12
"804","AU18_0108","1611788_C",33
"805","AU18_0108","1645568_C",32
"806","AU18_0108","1147954_C",24
"807","AU18_0108","1148411_C",20
"808","AU18_0108","37253_C",20
