"","sample.ID","seq.ID","abundance","cumulative_abundance","total_abundance","cumulative_percentage","fill_col","sample_uid","host_genus","host_species","collection_longitude","collection_latitude","facet_column"
"131","AU18_0352","1707858_C",5,13,921,0.0141150922909881,"1707858_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"132","AU18_0352","2885752_C",5,18,921,0.0195439739413681,"2885752_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"133","AU18_0352","C1hj",5,23,921,0.0249728555917481,"C1hj","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"134","AU18_0352","1655375_C",5,28,921,0.0304017372421281,"1655375_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"135","AU18_0352","170670_C",5,33,921,0.0358306188925081,"170670_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"136","AU18_0352","2885764_C",5,38,921,0.0412595005428882,"2885764_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"137","AU18_0352","1712853_C",5,43,921,0.0466883821932682,"1712853_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"138","AU18_0743","C1w",5,9,115,0.0782608695652174,"C1w","158801","Turbinaria","Turbinaria_patula",151.929,-23.43327,"a"
"139","AU18_0484","C8a",5,13,41,0.317073170731707,"C8a","158771","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"a"
"140","AU18_0245","C79",5,13,25,0.52,"C79","158738","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"141","AU18_0243","C3",5,5,101,0.0495049504950495,"C3","158736","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"142","AU18_0219","D6c",5,5,186,0.0268817204301075,"D6c","158729","Turbinaria","Turbinaria_mesenterina",153.26519,-30.20489,"a"
"143","AU18_0219","1673_D",5,10,186,0.0537634408602151,"1673_D","158729","Turbinaria","Turbinaria_mesenterina",153.26519,-30.20489,"a"
"144","AU18_0087","C3an",5,17,136,0.125,"C3an","158713","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"145","AU18_0087","23580_C",5,22,136,0.161764705882353,"23580_C","158713","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"146","AU18_1128","1148411_C",6,18,470,0.0382978723404255,"1148411_C","158849","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"a"
"147","AU18_0737","1148411_C",6,16,1264,0.0126582278481013,"1148411_C","158799","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"148","AU18_0332","C3cl",6,47,1159,0.0405522001725626,"C3cl","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"149","AU18_0332","D6g",6,53,1159,0.0457290767903365,"D6g","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"150","AU18_0824","D2.2",6,11,6625,0.00166037735849057,"D2.2","158807","Turbinaria","Turbinaria_reniformis",152.38847,-23.90505,"a"
"151","AU18_0485","1611789_C",6,26,1322,0.0196671709531014,"1611789_C","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"a"
"152","AU18_0485","2239310_C",6,32,1322,0.0242057488653555,"2239310_C","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"a"
"153","AU18_1010","D17e",6,31,2567,0.0120763537202961,"D17e","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"154","AU18_1010","D17c",6,37,2567,0.0144137125048695,"D17c","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"155","AU18_0237","47106_C",6,54,1189,0.0454163162321278,"47106_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"156","AU18_0237","47105_C",6,60,1189,0.0504625735912532,"47105_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"157","AU18_0237","2783458_C",6,66,1189,0.0555088309503785,"2783458_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"158","AU18_0067","1491900_C",6,21,1291,0.0162664601084431,"1491900_C","158706","Turbinaria","Turbinaria_patula",153.18158,-30.24195,"a"
"159","AU18_0067","C42ao",6,27,1291,0.0209140201394268,"C42ao","158706","Turbinaria","Turbinaria_patula",153.18158,-30.24195,"a"
"160","AU18_0067","1670177_C",6,33,1291,0.0255615801704105,"1670177_C","158706","Turbinaria","Turbinaria_patula",153.18158,-30.24195,"a"
"161","AU18_0748","C8a",6,26,5331,0.00487713374601388,"C8a","158805","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"162","AU18_0748","2282561_C",6,32,5331,0.00600262614894016,"2282561_C","158805","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"163","AU18_0744","C39ab",6,6,3954,0.00151745068285281,"C39ab","158802","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"164","AU18_0744","2885796_C",6,12,3954,0.00303490136570561,"2885796_C","158802","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"165","AU18_0468","C22ad",6,24,6629,0.00362045557399306,"C22ad","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"166","AU18_0468","C8",6,30,6629,0.00452556946749133,"C8","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"167","AU18_0468","C1ao",6,36,6629,0.00543068336098959,"C1ao","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"168","AU18_0065","103346_C",6,32,1050,0.0304761904761905,"103346_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"169","AU18_0065","2885774_C",6,38,1050,0.0361904761904762,"2885774_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"170","AU18_0232","C115d",6,11,472,0.0233050847457627,"C115d","158731","Turbinaria","Turbinaria_patula",153.26942,-30.01767,"a"
"171","AU18_0319","D4",6,31,7529,0.00411741267100545,"D4","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"172","AU18_0319","214657_D",6,37,7529,0.00491433125249037,"214657_D","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"173","AU18_0319","145593_D",6,43,7529,0.0057112498339753,"145593_D","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"174","AU18_0115","D4ae",6,10,304,0.0328947368421053,"D4ae","158720","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"a"
"175","AU18_0242","1630543_C",6,27,979,0.0275791624106231,"1630543_C","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"176","AU18_0242","C78c",6,33,979,0.0337078651685393,"C78c","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"177","AU18_0242","103687_C",6,39,979,0.0398365679264556,"103687_C","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"178","AU18_0390","2239316_C",6,54,760,0.0710526315789474,"2239316_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"179","AU18_0390","C79a",6,60,760,0.0789473684210526,"C79a","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"180","AU18_0390","1084218_C",6,66,760,0.0868421052631579,"1084218_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"181","AU18_0390","2885765_C",6,72,760,0.0947368421052632,"2885765_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"182","AU18_0390","2239344_C",6,78,760,0.102631578947368,"2239344_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"183","AU18_0390","2230005_C",6,84,760,0.110526315789474,"2230005_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"184","AU18_0390","1766700_C",6,90,760,0.118421052631579,"1766700_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"185","AU18_neg12","C22",6,56,1256,0.0445859872611465,"C22","158855","NoData","NoData",999,999,"a"
"186","AU18_neg12","C3co",6,62,1256,0.0493630573248408,"C3co","158855","NoData","NoData",999,999,"a"
"187","AU18_neg12","C8n",6,68,1256,0.054140127388535,"C8n","158855","NoData","NoData",999,999,"a"
"188","AU18_neg12","99803_C",6,74,1256,0.0589171974522293,"99803_C","158855","NoData","NoData",999,999,"a"
"189","AU18_neg12","870396_C",6,80,1256,0.0636942675159236,"870396_C","158855","NoData","NoData",999,999,"a"
"190","AU18_neg12","756079_C",6,86,1256,0.0684713375796178,"756079_C","158855","NoData","NoData",999,999,"a"
"191","AU18_neg12","463034_C",6,92,1256,0.0732484076433121,"463034_C","158855","NoData","NoData",999,999,"a"
